old                                      new
0016d097ac368be94a36746e9b73f06a0a7228cb e318b94ed33cd8af31cc28a83e85929fcdafe373
002c4b60bfd4e85d606ca7faa00acf18dff55916 d273e4cec6443b0f3988cd83898b4796ca1e3ea1
017f7bf9ccc347a1e0d115565f08ff55da7634be 39368f63804e38b723e30d376946a8097c7037c7
02f7572fbe05338422c3488ccc98c60270ed0d28 bdefae03b3488c305449aef21bde283d812c6d74
04e8748830448395f14df821ff12ca653e83dcff 20923ced6f095c61946776e3ff34d74b97cf4bae
0670d033f8a676a2e33f4c393762a2a82eacd0e5 61d7188da78e95887f55d086b32ee41f64bfed2c
07cd1674a8d86345618019cefcfd11f2a7194478 efcb74d37a1fff0e7616ab766fba8acc392483d9
08194f497200c1abbdf672abe930885eb957d1b7 ba2c9f9e6d9bc14ece15391faf3c60f722c1f182
08a88e1834e58e059c77e547bc1cb0e49cc6ce84 0e68dbf762341096645b482281aac3476d5db506
09911ce1330b8cba2f5150d948f6e10f7ae18048 8b61da382e6668a53fb0b07937d2d62853f690bb
0a2e851e3efe8f74d4f16fa2e144265cdae0dcbd be01e1c46d20af47f8a0f5b77f65f2b8fec1e04f
0ae09ac264bfbd13bd92582533eebdb7b6c24d21 c1cf07e215c54248d6c6e61437a5fbcb6f6ae787
0bc263f3f2b0f4970f388fae180b63aabb44fcf4 1f563c4b86e51acaf55fc7d1fe3a1150ff368743
0bfa3523f6b97aa16ab0f4a9750563ab929a7a17 1367e3d989848ddeec9e9894c3f80a5ad3e0be98
0d640d5663d96391127e92d1f259f4e1f5da7e94 19f8a0ce00550a0b45bc72e01b8d6f50a88388c1
0dba822c76f1a5c427d726b8f94dfa73cc8a74bd cc01e4c36bd335c07c2ebfe291547e4fb4261b73
11880371a33a5d67c6a345e5b9ef9b1213e0f031 45a14d88d5073449c1d28171b240605528c49c47
12ab6209e7d17994bd5516ef3d3bf2302b6f4fde ac4f675b7d65fa8cfea00721d10c3f231f552b0e
14cfbfbda42434e759c35cf65bd6d2751d2d3750 fab0eae65375ebaba8789fbffd10eabc5d2aea61
15e9dd2121263a598e122a995cb43c4b8c372395 0a244460a55b2563f8241513e58ea922987ad598
16271b1e10f8bd644408f3ed84aefdaf3f81cedb 6e61e06947d8c9700bb1551302a3f3772c761e10
1667dfaad2872efe8efebfc00f86e6df03d13d63 d557fa7a6bfc6f9caa410c2ca279aeead6aaf0e8
17a92f9f1f15c0d5fa89a442acc1ae1fa57796ea 8c168a5990098a8d46688880d251205b8b60f467
196af4c3317de260038f2feb94b4b0f701e553d6 a04a5dc40d91d01652f975d34622fcf28fa0a07e
19eb5392b9cf15aedafc2ec3e5b9f792a2cb87f8 5a83278c8cdcc0b313c12b78ed22b92ea5f77d84
1adab8f4c6e3d2f4ae407605545eb5af8038c5cf 633fef55160082b91b02b7c55a96c72bd95ce7f6
1c738ade91cef56ee2f4fe71e5bd52984dce8850 937450efd553b3e34a440115777f371e9cbf58a6
1ed8cabb75ff5e9ba840b844a6038ab50b978552 5c084592197a2749c01190527afbabf2edda0af1
1f337f0a60afd4d2abdfff2b01e91394879a1f3b afdcfc7281e7f541d6639c8345b49dfd911f9c03
1fa6b858a3c4d2626db305c80c021bc57f61787d d1ee56c7a74c95405a5ac7ab70928fa2aec7b86c
205a30f3cfeedb67224e614fb3ec8071aed2dafa aac666a39f0805adf7215ea44a188688a86dcfa7
21326ab234554ab5d1ac7fea6036a72cf684aa7e 046b4bb964462e2faab8311eb6af13b3082b6072
216cd4b05b726008d411bd85de39c5bba844bbfe d36f4c72484b62d97b90ca1c6cd64d4edbb298e0
21dcc58eb721b298e2308ad90dea74de6b73a51c 1e3ebdd99989cad50ce99932ca400d8bd287a4a7
235009b179ab1d67dfb6503e33906a4d925fc7bd d5622270c90ed618df46bb3e2fea5ce009b38b7f
25888a7350a37e03dae60978c80f382a515bb8a5 92a60d7b57aa4f918308901e25e8c60086d7e386
2689f89593c329cd3427b036564e3f80ad46a3d9 11b396cae1068b9eed9c5a3a81e5e1b533817b23
27620536bd2ab89842577ea6e464ea3b265a98a4 20470962ddf73c03ff48d682f1c56c8712349ef6
284d1860a399b7f66d7c28e2730892d5aea032ab d3336cc927949d99923e1560b0d2df27b98523d3
2b8e2b0713b6c8359e4c2f275d5a9cb44dca0636 a05b6cc261c64f3338cecf5da6d8facadfc8ce85
2bb7691923d66558f9d819791eb5df59864fba1a dea95cd8384c867fa9c0e7ea6ba0877ea2fd1025
2ca868571e4eea52a22e9947940b2955d7359448 2ca868571e4eea52a22e9947940b2955d7359448
2d179e42921c521e412e9a68e5dd86a881ce867c a965ebf094a7c6f2224082be159871ed6801856a
33ddc3762543bd81441294e20dbd78fb7795bea2 6bfcca09b32d5100f5788d7dc977138c2092c52e
3414f57c07a81f2174cf725ba7cea859b07de9b6 e3252577e291934bad025d355f816df70e4834b0
35fd856488e60cc5f64aa7a360ad3e4e8fe466eb ec0accf87b4396b8a81eb2546daa4a9c73f074e1
38b07a853994a86690410dc10119fd429566223e 71e19af64cd5e08d091db3331a2447f792d527df
3961f99f68cab4f37bc797e00b2164e1ae8e876d 59bf9f26de7dde6a83f18dde19e9323af6dc9d2a
398ca1b5887db69141b978cf18e4e26683c7d464 64277bddf420d29972b830dfffb2a8ddd4a1e608
3c049a370becbf105ad77155becc908bbe275336 bd346b61733de10e292d0e80e89d3401d3ae49d8
3f0ed7e2ce31565d2d800ef9031aac1313c15d10 40c8028845facd2e49e470e951bc8c475b1834bd
3f723327262069c6b9f5e272c7b47baa95cc5d86 d10846082246ab499ed3372cdd3adadd3b095f36
3fd20429eb46a8dde3f666745c1d0e0924899a6c 9d1913cb89629dfc585710e166ea46d94e0a815b
3fd3331dff914354f974cedb13a644efab8cb758 613ad9c7d32885bd979a2b41187a50676a889063
4077553078566b036ed54fdee6fa15a453a37ec0 28f9df2a6938eca5296fc3aa58652c240259dd9e
44174cac075de15458c407c47bc4436649904eac 196154556761a0a88410189f6f2cd233b951ae29
45d38cc4eb41ed956f600be6625337960bf50979 da416625dc0fc5835e068035357108b21130c399
4762cb73d7bc690016bd161d2858ba0cecedc467 9fefe1a983cfb608882d20438ed479bd543ec661
476e6e9c562945e286a293e58f597b872fb8c7a2 083c5dfb734b96ae6e324b96195ed74827ee583b
47892cedc8c1771d0dd86ae3592d802d6536941d 10bb953badd0810cf710cf55c83a0d3ecdeb79dd
47f2df6238d03c320d48712811fc5e950a9dcb02 67fb69c0ca6337c60ff85788233f3dcfb6b115b5
48d1756aac23c413982507781b4f194444f439b5 65bbea2b3c03d7d7d96d3c76b73d1de9631817f5
4a0ff5087c690d7a229f6284b5349652e9b303fe de09737c18160d4dac0cb60fcb3021c0b52fca6a
4a49d3d96d6e34ba641ad83c1e7f1b715a051e29 25823982097c8a088d76746c10a2d9a1e750b287
4a5497d31f6490dc4c6551a3045ac86594b7f427 c45d41a914ba47aa56035060bcc939a815f16173
4bacc75d1f4f79b447053addeae4102b7133e4a7 5e211072ec5792559924e4c99391dd0566b75136
50de6489cc2487e260f145ee1efb9004bda97b91 73bc148427503858953f174e73ce541bc4d5eb2f
51a5bf599f49e7e61466f3f5767204744172a518 7ca6439d10d6be13fb10be4709e54952cff2b298
5322b70deb87bea44fee9c9f4aaca4831c9199e5 fa0703bc5dbb651fd0e8b3e5017cce9cb6a51110
53945f54472d4187b37ecabc1d1afd15a1889b93 f6435c9d084dbfb0dff0362f2207fcaf9df95805
539ae612e0fa7bb95ba459840db9ec02e00e0949 0fd4505d6a2dd0186c53645be8e1b5cebd35eb77
546a97486a9a8823d87bb6e6fbd0420deebc81e3 af7a1a84fe17c3f5d90b5cd8265e1dbf19a10d1b
556e65ce7b8c3c88fa1ff09658ecefe7199a8a8a ce6ef398d52309d3b9b07c287e6502c50b88a216
5635155f8243198b51d07ddeae15a65dd69edb59 88c183bbaaed50a03df20681d8bf236ef4ac178a
576ea5f27b883565f09898083bbb4bea4bb074a7 8917b90d342a2b55fb0fc52de1d8dae93dcbff74
5798cfb27c07f3a341cdfeddf6eda4dcfc25f594 f8832e69a27fe2e5d238f7c1617c2ccdf768fbfd
57a0da493e6d367e5185070af8a951fb8f0e9696 a0c285db72bc0272da40522f374872c14232e68b
5862225cff5bb949114eda2e90d1d4acddcde5eb e46c3aaff1e62d4d2f1b31e8e3f9cf11f52ff76b
5900159a297f75bc23cad82bf9df37a3ea9fe249 9dc97d63869b9941fb11352e982762ed8eed0d9f
591ceb2a317b715aa721b15dc1e4e60321de8047 591ceb2a317b715aa721b15dc1e4e60321de8047
59615051070c75d20d3214498ec9ce3a3bd838c4 4b10995b55d0a1a4728ac3e846a538df1779d2a4
5a4b013964838c212c4be2ff80985bbfb5024e88 a7710e5ba71969ab7f7d48d2f1c0399b0250015b
